ts_obs_w_30sec_1,ts_obs_w_30sec_2,ts_obs_w_30sec_10,ts_obs_w_30sec_20,ts_obs_w_30sec_40,ts_obs_w_30sec_60
0.117449412,0.131699467,0.18949151,1.46764437,1.666503856,1.852496409
0.19001589,0.212569954,0.196452434,1.456784375,1.664660265,1.851561539
0.166596649,0.132770865,0.200163054,1.493449662,1.658838685,1.839189172
0.191616718,0.154515513,0.188213601,1.463494143,1.656894472,1.845199456
0.110247579,0.131133153,0.192054381,1.465131404,1.69254086,1.84032202
0.161324687,0.109737601,0.203119958,1.47066668,1.71345083,1.878207736
0.169950709,0.131423347,0.198863623,1.489122939,1.658800642,1.883883832
0.180618344,0.162060259,0.188822548,1.470962462,1.657796004,1.841645012
0.153908751,0.127211912,0.191763463,1.467806249,1.653553293,1.87236867
0.120922296,0.177720688,0.189969711,1.465747199,1.664568007,1.854048011